	QMCDP007A3_pWPIonly_S1	QMCDP008AB_pWPIonly_S2	QMCDP009AJ_pWPIonly_S3	QMCDP010AM_pWPIHXB_S1	QMCDP011AU_pWPIHXB_S2	QMCDP012A4_pWPIHXB_S3
ENSG00000229519	2	2	2	5	6	15
ENSG00000173662	4	6	2	1	4	2
ENSG00000204859	715	682	805	596	696	694
ENSG00000162413	1894	1998	1696	1880	2323	2164
ENSG00000116273	1563	1606	1267	1016	1481	1509
ENSG00000041988	492	557	715	444	608	664
ENSG00000007923	1695	1653	1304	1156	1310	1165
ENSG00000237436	17	26	27	8	15	19
ENSG00000171735	743	811	833	447	485	467
ENSG00000237365	0	0	0	0	1	1
ENSG00000237402	1	0	0	0	1	0
ENSG00000225126	1	0	0	1	1	0
ENSG00000270171	1	0	0	0	1	0
ENSG00000049245	908	961	880	763	1056	971
ENSG00000269925	23	18	12	16	19	27
ENSG00000049246	189	134	95	136	93	98
ENSG00000236266	5	3	2	3	1	1
ENSG00000116288	4819	4661	5285	3985	4244	3687
ENSG00000200344	1	1	1	2	0	2
ENSG00000116285	159	149	104	206	211	171
ENSG00000232848	1	0	0	0	5	0
ENSG00000162426	29	33	24	31	55	62
ENSG00000252254	1	0	0	0	0	0
ENSG00000142599	1076	1195	574	1166	1689	2212
ENSG00000232912	1	0	0	0	0	2
ENSG00000234619	3	1	1	0	0	0
ENSG00000224315	0	0	0	0	0	2
ENSG00000222511	0	0	0	0	2	0
ENSG00000226545	0	2	0	0	1	0
ENSG00000228423	0	2	0	1	1	2
ENSG00000074800	44722	35623	32409	23226	22028	16805
ENSG00000236269	1	5	1	5	3	4
ENSG00000230679	7	5	10	7	8	3
ENSG00000201725	0	1	0	0	3	0
ENSG00000238249	59	42	61	43	24	41
ENSG00000197241	0	0	0	1	1	0
ENSG00000142583	0	0	0	0	3	1
ENSG00000180758	683	757	871	401	594	626
ENSG00000049239	1054	2049	1482	1066	2007	2332
ENSG00000252841	0	0	0	0	0	1
ENSG00000171621	143	319	366	142	542	696
ENSG00000235263	0	1	0	0	0	0
ENSG00000171612	752	754	868	629	649	579
ENSG00000231181	12	6	2	1	13	11
ENSG00000188807	1016	1029	796	795	966	1026
ENSG00000171608	1659	1665	1344	1675	2446	2633
ENSG00000179840	1	0	1	1	0	0
ENSG00000231789	184	232	258	75	125	107
ENSG00000171603	4217	4451	3969	3827	5379	6210
ENSG00000178585	1046	1360	1337	867	1649	1661
ENSG00000162441	1426	1481	1093	1218	1115	1290
ENSG00000228150	6	2	1	5	0	7
ENSG00000173614	189	267	195	261	362	392
ENSG00000202415	2	0	0	0	2	4
ENSG00000265521	1	0	0	0	0	0
ENSG00000130939	2016	2391	1532	1635	2104	2161
ENSG00000224340	1	2	0	1	0	0
ENSG00000233623	1	1	0	0	0	1
ENSG00000201746	0	1	0	0	1	0
ENSG00000054523	1834	1833	925	1399	2025	2324
ENSG00000199562	0	0	1	1	1	0
ENSG00000265945	0	0	1	0	1	0
ENSG00000142657	7447	7321	6410	5676	6575	6183
ENSG00000271989	4	4	9	4	1	5
ENSG00000175279	458	383	373	316	330	264
ENSG00000241563	12	11	6	6	13	18
ENSG00000160049	3056	2859	2441	2051	2296	2367
ENSG00000142655	621	756	761	467	701	718
ENSG00000243267	0	0	0	0	0	2
ENSG00000130940	133	197	147	270	449	580
ENSG00000272078	20	12	7	24	21	36
ENSG00000175262	0	2	2	3	8	8
ENSG00000215785	0	1	1	0	0	1
ENSG00000120948	7789	7593	6543	5235	5828	5315
ENSG00000009724	20	23	13	18	26	57
ENSG00000271895	22	24	39	30	50	40
ENSG00000116649	3427	2788	3057	2359	2038	1607
ENSG00000171824	3097	3345	2238	2599	2539	2638
ENSG00000226849	5	4	3	6	4	4
ENSG00000230337	5	2	4	3	2	1
ENSG00000198793	4452	4947	2830	3234	4226	4393
ENSG00000225602	1	6	0	0	1	0
ENSG00000171819	0	3	2	1	0	5
ENSG00000207451	0	1	0	1	0	1
ENSG00000238173	0	0	0	0	0	1
ENSG00000120942	1094	1058	768	889	1069	1073
ENSG00000238199	0	2	1	2	3	3
ENSG00000224338	0	0	0	0	1	0
ENSG00000204624	73	203	141	67	255	281
ENSG00000235643	2	1	3	3	0	4
ENSG00000116661	24	51	49	10	42	17
ENSG00000132879	566	859	913	461	970	823
ENSG00000116663	217	117	150	280	185	187
ENSG00000116670	2397	2941	3631	1944	2875	2718
ENSG00000162490	206	767	538	469	1486	2269
ENSG00000177674	202	339	276	137	242	206
ENSG00000215910	0	0	0	0	2	2
ENSG00000177000	1013	1129	874	796	1166	1193
ENSG00000011021	853	796	541	642	784	892
ENSG00000242349	22	13	12	12	22	6
ENSG00000175206	2	1	1	3	8	3
ENSG00000224904	0	0	0	0	1	0
ENSG00000199347	2	0	0	0	1	5
ENSG00000201801	1	0	0	1	1	0
ENSG00000116685	1312	1486	1623	1006	1358	1256
ENSG00000083444	885	819	723	856	817	802
ENSG00000116688	2556	2399	1986	2009	2125	2152
ENSG00000116691	974	1059	1535	875	1116	1153
ENSG00000202461	3	4	5	5	1	3
ENSG00000120949	581	1128	862	442	776	601
ENSG00000201135	1	0	0	0	0	0
ENSG00000028137	1	22	43	3	64	73
ENSG00000048707	1488	1785	801	1438	1855	2274
ENSG00000239149	4	1	6	1	0	6
ENSG00000162496	46	91	92	46	105	94
ENSG00000272482	1	1	1	3	2	3
ENSG00000179172	0	0	0	1	0	2
ENSG00000179412	0	0	0	1	0	0
ENSG00000162494	52	142	153	26	110	122
ENSG00000259961	1	1	1	0	1	0
ENSG00000162493	7	1	0	0	0	0
ENSG00000116731	1804	1699	1104	1823	2149	2304
ENSG00000231606	0	8	1	0	0	0
ENSG00000234593	0	5	6	1	3	2
ENSG00000189337	268	304	182	216	271	233
ENSG00000175147	1	0	0	0	0	0
ENSG00000171729	2	2	1	1	6	1
ENSG00000142621	14	7	8	20	39	59
ENSG00000236045	0	0	0	0	0	2
ENSG00000228140	4	5	0	2	2	1
ENSG00000142634	2533	2677	2895	2148	2555	2348
ENSG00000162438	0	1	2	1	2	1
ENSG00000142615	0	0	0	0	0	1
ENSG00000215704	7	4	3	6	5	3
ENSG00000132906	366	356	412	431	449	466
ENSG00000116138	715	627	407	645	673	835
ENSG00000272510	1	0	0	0	0	0
ENSG00000116771	6	2	0	8	3	7
