	QMCDP007A3_pWPIonly_S1	QMCDP008AB_pWPIonly_S2	QMCDP009AJ_pWPIonly_S3	QMCDP010AM_pWPIHXB_S1	QMCDP011AU_pWPIHXB_S2	QMCDP012A4_pWPIHXB_S3
ENSG00000117519	6.16032837400677	7.37817274628838	7.34110312028484	5.6414994737772	7.45961289185735	7.54347281745295
ENSG00000235501	4.88997818597007	5.17774370384633	5.06274578976048	5.18792362035609	5.28711973152089	5.53918837787405
ENSG00000172339	8.32140191089624	8.50388486930117	8.79326970977706	8.5987788258437	8.57106233679279	8.52012074804569
ENSG00000230427	4.24376224454605	4.24376224454605	4.5818442964285	4.60607142818804	4.24376224454605	4.55883198798707
ENSG00000152078	5.85215328367281	5.67076288469104	5.72999809007422	5.95752013326059	5.88505570941354	6.1079714844415
ENSG00000226026	4.24376224454605	4.55992160197688	4.24376224454605	4.24376224454605	4.24376224454605	4.55883198798707
ENSG00000122481	7.74150460835855	7.68689462207655	7.9206806563285	7.64858597552806	7.69609766184941	7.67212415566872
ENSG00000228852	5.0934558374886	5.17774370384633	4.82670456785555	4.96282042532703	4.8815258096803	5.00808685645008
ENSG00000228971	4.24376224454605	4.87236281309326	4.72080105047831	4.24376224454605	4.24376224454605	4.24376224454605
ENSG00000271252	4.24376224454605	4.55992160197688	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605
ENSG00000237435	4.24376224454605	4.78920833890626	4.72080105047831	4.24376224454605	4.24376224454605	4.24376224454605
ENSG00000228502	5.57801998892049	5.39805504579124	5.7620911573968	5.41604807392539	5.7202618108682	5.39426036314155
ENSG00000137970	8.43486696801629	8.69768921778157	9.40300395960357	8.32299502548512	8.31308320047522	7.94778630724611
ENSG00000117569	9.57020222788033	9.73520985645002	9.95384237528792	9.60460458559026	9.84683576957604	10.1278889596641
ENSG00000188641	10.4332392892339	10.419418224298	10.1270419727128	10.3092121256195	10.2792550075073	9.73796490212515
ENSG00000232878	4.24376224454605	4.87236281309326	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605
ENSG00000232542	4.56888965423731	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605
ENSG00000228057	5.34545722465155	5.27250931827371	5.1853891441862	5.30917295958582	5.13864281769028	5.26909257621256
