	entrezgene	ensembl_gene_id	gene_name	filter	baseMean	log2FoldChange_condition_treat_day6_on_vs_day6_off	lfcSE_condition_treat_day6_on_vs_day6_off	stat_condition_treat_day6_on_vs_day6_off	pvalue_condition_treat_day6_on_vs_day6_off	padj_condition_treat_day6_on_vs_day6_off	filter1	external_gene_name	pathway_id
5563	19049	ENSMUSG00000061718	Ppp1r1b	1	1398.16082183192	-2.16848482199774	0.0899892801465721	-24.0971459985652	2.67799856981583e-128	1.19803241574677e-125	DE	Ppp1r1b	mmu04024
5564	19049	ENSMUSG00000061718	Ppp1r1b	1	1398.16082183192	-2.16848482199774	0.0899892801465721	-24.0971459985652	2.67799856981583e-128	1.19803241574677e-125	DE	Ppp1r1b	mmu05030
5565	19053	ENSMUSG00000009630	Ppp2cb	1	2048.24368235417	0.497560730199337	0.0796189631371483	6.24927417532754	4.12364487831185e-10	4.16633003545874e-09	DE	Ppp2cb	mmu04728
5566	19053	ENSMUSG00000009630	Ppp2cb	1	2048.24368235417	0.497560730199337	0.0796189631371483	6.24927417532754	4.12364487831185e-10	4.16633003545874e-09	DE	Ppp2cb	mmu04152
5567	19053	ENSMUSG00000009630	Ppp2cb	1	2048.24368235417	0.497560730199337	0.0796189631371483	6.24927417532754	4.12364487831185e-10	4.16633003545874e-09	DE	Ppp2cb	mmu04530
5568	19053	ENSMUSG00000009630	Ppp2cb	1	2048.24368235417	0.497560730199337	0.0796189631371483	6.24927417532754	4.12364487831185e-10	4.16633003545874e-09	DE	Ppp2cb	mmu04730
5569	19053	ENSMUSG00000009630	Ppp2cb	1	2048.24368235417	0.497560730199337	0.0796189631371483	6.24927417532754	4.12364487831185e-10	4.16633003545874e-09	DE	Ppp2cb	mmu03015
5570	19053	ENSMUSG00000009630	Ppp2cb	1	2048.24368235417	0.497560730199337	0.0796189631371483	6.24927417532754	4.12364487831185e-10	4.16633003545874e-09	DE	Ppp2cb	mmu04261
5571	19053	ENSMUSG00000009630	Ppp2cb	1	2048.24368235417	0.497560730199337	0.0796189631371483	6.24927417532754	4.12364487831185e-10	4.16633003545874e-09	DE	Ppp2cb	mmu04390
5572	19053	ENSMUSG00000009630	Ppp2cb	1	2048.24368235417	0.497560730199337	0.0796189631371483	6.24927417532754	4.12364487831185e-10	4.16633003545874e-09	DE	Ppp2cb	mmu04114
